ID_PEDIDO,ID_DETALLE,FECHA,ID_CLIENTE,Cliente,ID_VENDEDOR,Nombre_Vendedor,Genero_Vendedor,SUCURSAL,Provincia_Vendedor,Region_Vendedor,latitud,longitud,ID_PRODUCTO,Nombre_Producto,CANTIDAD,PRECIO_VENTA_UNITARIO,COSTO_UNITARIO,INGRESO_TOTAL,COSTO_TOTAL,MARGEN_BENEFICIO,PORCENTAJE_MARGEN,RANK_PRODUCTO_EN_HISTORIAL_CLIENTE,foto_Productos_url,foto_Vendedor_url
1368,4193,2022-02-18,1,Alejandro Perez,11,Pedro Gómez,Masculino,Sucursal 3,Azua,ESTE,18.45,-70.733333,22,Mantequilla Rica,20,175.0,120.0,3500.0,2400.0,1100.0,31.43,1,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PRODUCTOS/producto_22.png,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PERSONAS/persona_11.png
2379,7281,2023-08-10,1,Alejandro Perez,4,Luis Diaz,Masculino,Sucursal 1,La Romana,NORTE,18.433333,-68.966667,18,Crema dental Colgate,18,175.0,112.0,3150.0,2016.0,1134.0,36.0,2,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PRODUCTOS/producto_18.png,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PERSONAS/persona_4.png
1958,5985,2021-07-12,1,Alejandro Perez,13,Alejandro Peña,Masculino,Sucursal 3,San Juan,ESTE,18.8,-71.2,22,Mantequilla Rica,16,175.0,120.0,2800.0,1920.0,880.0,31.43,3,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PRODUCTOS/producto_22.png,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PERSONAS/persona_13.png
2286,6998,2020-10-09,1,Alejandro Perez,14,Lucía Ramire,Femenino,Sucursal 3,San Cristóbal,ESTE,18.416667,-70.1,18,Crema dental Colgate,15,175.0,112.0,2625.0,1680.0,945.0,36.0,4,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PRODUCTOS/producto_18.png,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PERSONAS/persona_14.png
1368,4194,2022-02-18,1,Alejandro Perez,11,Pedro Gómez,Masculino,Sucursal 3,Azua,ESTE,18.45,-70.733333,22,Mantequilla Rica,15,175.0,120.0,2625.0,1800.0,825.0,31.43,4,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PRODUCTOS/producto_22.png,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PERSONAS/persona_11.png
787,2435,2023-05-08,1,Alejandro Perez,12,María Rodríguez,Femenino,Sucursal 3,Barahona,ESTE,18.2,-71.1,16,Mermelada de Manzanas,20,112.0,76.0,2240.0,1520.0,720.0,32.14,6,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PRODUCTOS/producto_16.png,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PERSONAS/persona_12.png
47,146,2020-05-31,1,Alejandro Perez,6,Jorge Ramos,Masculino,Sucursal 2,Santiago,SUR,19.45,-70.7,16,Mermelada de Manzanas,20,112.0,76.0,2240.0,1520.0,720.0,32.14,6,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PRODUCTOS/producto_16.png,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PERSONAS/persona_6.png
633,1978,2022-07-27,1,Alejandro Perez,4,Luis Diaz,Masculino,Sucursal 1,La Romana,NORTE,18.433333,-68.966667,22,Mantequilla Rica,12,175.0,120.0,2100.0,1440.0,660.0,31.43,8,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PRODUCTOS/producto_22.png,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PERSONAS/persona_4.png
1958,5984,2021-07-12,1,Alejandro Perez,13,Alejandro Peña,Masculino,Sucursal 3,San Juan,ESTE,18.8,-71.2,22,Mantequilla Rica,12,175.0,120.0,2100.0,1440.0,660.0,31.43,8,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PRODUCTOS/producto_22.png,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PERSONAS/persona_13.png
2025,6213,2021-07-20,1,Alejandro Perez,6,Jorge Ramos,Masculino,Sucursal 2,Santiago,SUR,19.45,-70.7,23,Avena Quaker,19,110.0,75.0,2090.0,1425.0,665.0,31.82,10,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PRODUCTOS/producto_23.png,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PERSONAS/persona_6.png
2203,6754,2023-08-25,1,Alejandro Perez,1,Juan Perez,Masculino,Sucursal 1,La Altagracia,NORTE,18.616667,-68.633333,23,Avena Quaker,19,110.0,75.0,2090.0,1425.0,665.0,31.82,10,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PRODUCTOS/producto_23.png,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PERSONAS/persona_1.png
148,470,2020-10-17,1,Alejandro Perez,14,Lucía Ramire,Femenino,Sucursal 3,San Cristóbal,ESTE,18.416667,-70.1,17,Jabon Limpiol,19,110.0,85.0,2090.0,1615.0,475.0,22.73,10,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PRODUCTOS/producto_17.png,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PERSONAS/persona_14.png
443,1395,2020-11-13,1,Alejandro Perez,2,Maria Vizcaino,Femenino,Sucursal 2,El Seibo,NORTE,18.766667,-69.033333,23,Avena Quaker,18,110.0,75.0,1980.0,1350.0,630.0,31.82,13,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PRODUCTOS/producto_23.png,https://raw.githubusercontent.com/JUANCITOPENA/GENERADOR_IMAGENES_PERSONAS/refs/heads/main/FOTOS_PERSONAS/persona_2.png
